event,2024mose
frc4550,-0.039366507783014267,42.055987926182326,42.095354433965326,
match,partner1,ccwm,opr,dpr,partner2,ccwm,opr,dpr,opp1,ccwm,opr,dpr,opp2,ccwm,opr,dpr,opp3,ccwm,opr,dpr,
3,frc4522,24.69592454331331,68.45629795483765,43.760373411524306,frc2718,-21.292856967173435,22.820167320857987,44.113024288031426,frc3928,-0.060260703566905646,38.18807015552876,38.24833085909567,frc1982,19.894957733369424,39.836044733801316,19.941087000431914,frc4593,23.28736772397501,40.25581320035802,16.968445476383003,
9,frc1706,11.695709703956627,33.23423888281624,21.538529178859598,frc6823,15.737387338112898,58.03927723506895,42.301889896956084,frc5312,0.46671964455575016,17.094295195176553,16.627575550620808,frc5141,-11.936425213066517,15.751285864787196,27.687711077853706,frc3729,5.093807778095272,26.665084634990095,21.571276856894823,
16,frc9126,-28.910164083527253,23.997110075390992,52.90727415891828,frc1987,6.75947446121931,64.32243467429075,57.562960213071435,frc4766,10.21076457687425,49.85054456737251,39.63977999049825,frc9428,0.0,0.0,0.0,frc2502,17.662272259545254,36.903561009696745,19.241288750151487,
22,frc3729,5.093807778095272,26.665084634990095,21.571276856894823,frc3931,5.018600979959808,34.44025815061047,29.421657170650672,frc6420,-4.401755603378675,49.04675133470736,53.448506938086034,frc1785,5.327264263464486,40.930591364150914,35.603327100686336,frc9126,-28.910164083527253,23.997110075390992,52.90727415891828,
26,frc1208,-15.948656911408964,15.605634083920116,31.554290995329083,frc6420,-4.401755603378675,49.04675133470736,53.448506938086034,frc4522,24.69592454331331,68.45629795483765,43.760373411524306,frc3729,5.093807778095272,26.665084634990095,21.571276856894823,frc1706,11.695709703956627,33.23423888281624,21.538529178859598,
31,frc5098,-3.8732538522671827,21.89519054676655,25.76844439903374,frc6420,-4.401755603378675,49.04675133470736,53.448506938086034,frc2457,-11.52962777601524,33.354935423046854,44.88456319906211,frc6391,1.7117701775440342,25.878114628720773,24.16634445117674,frc1987,6.75947446121931,64.32243467429075,57.562960213071435,
40,frc1785,5.327264263464486,40.930591364150914,35.603327100686336,frc5141,-11.936425213066517,15.751285864787196,27.687711077853706,frc5809,-27.71315448441395,4.611425470377746,32.324579954791695,frc5013,-6.790216136427896,31.33224942323678,38.12246555966466,frc2718,-21.292856967173435,22.820167320857987,44.113024288031426,
44,frc1723,-23.76226832344841,16.430418928932646,40.19268725238105,frc2457,-11.52962777601524,33.354935423046854,44.88456319906211,frc7747,-0.7112163659244594,28.36864936350513,29.079865729429603,frc5141,-11.936425213066517,15.751285864787196,27.687711077853706,frc2718,-21.292856967173435,22.820167320857987,44.113024288031426,
50,frc5442,-14.322538384900522,29.89844251722369,44.22098090212422,frc9031,-41.233058291262346,9.33523448205986,50.56829277332225,frc5098,-3.8732538522671827,21.89519054676655,25.76844439903374,frc1785,5.327264263464486,40.930591364150914,35.603327100686336,frc3928,-0.060260703566905646,38.18807015552876,38.24833085909567,
57,frc4455,-4.922668828272827,19.244201722273232,24.166870550546058,frc9428,0.0,0.0,0.0,frc1997,-15.096535587900162,24.549206663762,39.64574225166218,frc3928,-0.060260703566905646,38.18807015552876,38.24833085909567,frc4646,5.455239381664371,39.71412976448505,34.258890382820674,
63,frc4646,5.455239381664371,39.71412976448505,34.258890382820674,frc167,13.788273308260614,41.190880072534775,27.40260676427416,frc7662,-2.6632517993368023,20.12297405222745,22.78622585156426,frc1997,-15.096535587900162,24.549206663762,39.64574225166218,frc4593,23.28736772397501,40.25581320035802,16.968445476383003,
69,frc6391,1.7117701775440342,25.878114628720773,24.16634445117674,frc5013,-6.790216136427896,31.33224942323678,38.12246555966466,frc167,13.788273308260614,41.190880072534775,27.40260676427416,frc3931,5.018600979959808,34.44025815061047,29.421657170650672,frc1785,5.327264263464486,40.930591364150914,35.603327100686336,
